host,owner,severity,confidence,risk_id,detail,source
null.badssl.com,,critical,confirmed,tls-weak-cipher,"弱い暗号スイートが有効 (NULL暗号, 匿名鍵交換) (443/tcp)",nmap-nse
expired.badssl.com,,high,confirmed,tls-expired,TLS certificate expired (not_after: 2015-04-12T23:59:59Z),tlsx
null.badssl.com,,high,confirmed,tls-weak-config,TLS設定の総合評価が最低水準 (443/tcp),nmap-nse
rc4.badssl.com,,high,confirmed,tls-weak-cipher,弱い暗号スイートが有効 (RC4) (443/tcp),nmap-nse
scanme.nmap.org,,high,confirmed,ssh-exposed,SSH exposed to internet (22/tcp) - OpenSSH 6.6.1p1 Ubuntu 2ubuntu2.13,naabu
3des.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (443/tcp),nmap-nse
3des.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (443/tcp),nmap-nse
3des.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (1010/tcp),nmap-nse
3des.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (1011/tcp),nmap-nse
3des.badssl.com,,medium,confirmed,tls-weak-cipher,弱い暗号スイートが有効 (3DES) (443/tcp),nmap-nse
dh480.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (443/tcp),nmap-nse
dh480.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (443/tcp),nmap-nse
dh480.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (1010/tcp),nmap-nse
dh480.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (1011/tcp),nmap-nse
expired.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (443/tcp),nmap-nse
expired.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (443/tcp),nmap-nse
expired.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (1010/tcp),nmap-nse
expired.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (1011/tcp),nmap-nse
expired.badssl.com,,medium,confirmed,tls-weak-cipher,弱い暗号スイートが有効 (3DES) (443/tcp),nmap-nse
null.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (443/tcp),nmap-nse
null.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (443/tcp),nmap-nse
null.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (1010/tcp),nmap-nse
null.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (1011/tcp),nmap-nse
rc4.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (443/tcp),nmap-nse
rc4.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (443/tcp),nmap-nse
rc4.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (1010/tcp),nmap-nse
rc4.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (1011/tcp),nmap-nse
scanme.nmap.org,,medium,confirmed,ssh-weak-algorithm,"SSHで弱いアルゴリズムが有効 (DH group1, ssh-rsa(SHA-1), HMAC-MD5, Arcfour, 3DES-CBC) (22/tcp)",nmap-nse
self-signed.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (443/tcp),nmap-nse
self-signed.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (443/tcp),nmap-nse
self-signed.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (1010/tcp),nmap-nse
self-signed.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (1011/tcp),nmap-nse
self-signed.badssl.com,,medium,confirmed,tls-self-signed,Self-signed TLS certificate,tlsx
self-signed.badssl.com,,medium,confirmed,tls-weak-cipher,弱い暗号スイートが有効 (3DES) (443/tcp),nmap-nse
tls-v1-0.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (443/tcp),nmap-nse
tls-v1-0.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (443/tcp),nmap-nse
tls-v1-0.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (1010/tcp),nmap-nse
tls-v1-0.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (1011/tcp),nmap-nse
tls-v1-0.badssl.com,,medium,confirmed,tls-weak-cipher,弱い暗号スイートが有効 (3DES) (443/tcp),nmap-nse
tls-v1-1.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (443/tcp),nmap-nse
tls-v1-1.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (443/tcp),nmap-nse
tls-v1-1.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (1010/tcp),nmap-nse
tls-v1-1.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (1011/tcp),nmap-nse
tls-v1-1.badssl.com,,medium,confirmed,tls-weak-cipher,弱い暗号スイートが有効 (3DES) (443/tcp),nmap-nse
wrong.host.badssl.com,,medium,confirmed,tls-mismatch,TLS certificate hostname mismatch,tlsx
wrong.host.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (443/tcp),nmap-nse
wrong.host.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (443/tcp),nmap-nse
wrong.host.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.0 が有効 (1010/tcp),nmap-nse
wrong.host.badssl.com,,medium,confirmed,tls-old-protocol,TLSv1.1 が有効 (1011/tcp),nmap-nse
wrong.host.badssl.com,,medium,confirmed,tls-weak-cipher,弱い暗号スイートが有効 (3DES) (443/tcp),nmap-nse
